Date,Year,Nest,Site,Camera  Status,Fate,Nest Status,LDLD,Nest Stage,Cause,Cause2,notes/nature of failure
3/15/2017,2017,003,3,1,fledged,0,10,Nestling,Success,Success,
3/13/2017,2017,012,12,1,,0,10,Incubation,Success,Success,
3/14/2017,2017,012,12,1,,0,10,Incubation,Success,Success,
3/15/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/16/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/17/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/18/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/19/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/20/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/21/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/22/2017,2017,012,12,1,,0,10,Nestling,Success,Success,
3/23/2017,2017,012,12,1,cuts at 8am,0,10,Nestling,Success,Success,
3/24/2017,2017,012,12,0,,0,0,Nestling,Success,Success,
3/25/2017,2017,012,12,0,,0,0,Nestling,Success,Success,
3/26/2017,2017,012,12,0,,0,0,Nestling,Success,Success,
3/27/2017,2017,012,12,1,fledged,0,0,Nestling,Success,Success,
4/21/2017,2017,051,51,1,,0,10,Nestling,Success,Success,
4/22/2017,2017,051,51,1,,0,10,Nestling,Success,Success,
4/23/2017,2017,051,51,1,cuts 720pm,0,10,Nestling,Success,Success,
4/24/2017,2017,051,51,0,,0,0,Nestling,Success,Success,
4/25/2017,2017,051,51,1,starts 0940,0,10,Nestling,Success,Success,
4/26/2017,2017,051,51,1,,0,10,Nestling,Success,Success,
4/27/2017,2017,051,51,1,,0,10,Nestling,Success,Success,
4/28/2017,2017,051,51,1,,0,10,Nestling,Success,Success,
4/29/2017,2017,051,51,1,,0,10,Nestling,Success,Success,
4/30/2017,2017,051,51,1,,0,10,Nestling,Success,Success,
5/1/2017,2017,051,51,1,,0,10,Nestling,Success,Success,
5/2/2017,2017,051,51,1,,0,10,Nestling,Success,Success,
5/3/2017,2017,051,51,1,,0,10,Nestling,Success,Success,
5/4/2017,2017,051,51,1,,0,10,Nestling,Success,Success,
5/5/2017,2017,051,51,1,,0,10,Nestling,Success,Success,
5/6/2017,2017,051,51,1,fledged,0,10,Nestling,Success,Success,
5/8/2017,2017,068,68,1,,0,10,Incubation,Rat,Invasive,
5/9/2017,2017,068,68,1,,0,10,Incubation,Rat,Invasive,
5/10/2017,2017,068,68,1,,0,10,Incubation,Rat,Invasive,
5/11/2017,2017,068,68,1,,0,10,Incubation,Rat,Invasive,
5/12/2017,2017,068,68,1,,0,10,Incubation,Rat,Invasive,
5/13/2017,2017,068,68,1,,0,10,Incubation,Rat,Invasive,
5/14/2017,2017,068,68,1,,0,10,Nestling,Rat,Invasive,
5/15/2017,2017,068,68,1,,0,10,Nestling,Rat,Invasive,
5/16/2017,2017,068,68,1,,0,10,Nestling,Rat,Invasive,
5/17/2017,2017,068,68,1,,0,10,Nestling,Rat,Invasive,
5/18/2017,2017,068,68,1,,0,10,Nestling,Rat,Invasive,
